pocket,displacement,tanimoto,recall
complex_000059,1.0,0.7222222222222222,0.8125
complex_000059,1.0,0.625,0.625
complex_000059,2.0,0.6875,0.6875
complex_000059,2.0,0.5,0.5625
complex_000059,2.0,0.5294117647058824,0.5625
complex_000059,2.0,0.5263157894736842,0.625
complex_000059,2.0,0.5555555555555556,0.625
complex_000059,2.0,0.5789473684210527,0.6875
complex_000059,2.0,0.5555555555555556,0.625
complex_000059,2.0,0.47368421052631576,0.5625
complex_000059,2.0,0.7058823529411765,0.75
complex_000059,2.0,0.47368421052631576,0.5625
complex_000059,2.0,0.47368421052631576,0.5625
complex_000059,2.0,0.5,0.5625
complex_000059,3.0,0.45,0.5625
complex_000059,3.0,0.42105263157894735,0.5
complex_000059,3.0,0.5,0.625
complex_000059,3.0,0.4444444444444444,0.5
complex_000059,3.0,0.3333333333333333,0.4375
complex_000059,3.0,0.45,0.5625
complex_000059,3.0,0.47368421052631576,0.5625
complex_000059,3.0,0.6111111111111112,0.6875
complex_000059,3.0,0.47368421052631576,0.5625
complex_000059,3.0,0.4090909090909091,0.5625
complex_000059,3.0,0.4,0.5
complex_000059,3.0,0.6111111111111112,0.6875
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.8571428571428571,0.8571428571428571
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.7777777777777778,1.0
complex_000063,0.5,0.8571428571428571,0.8571428571428571
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.8571428571428571,0.8571428571428571
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.75,0.8571428571428571
complex_000063,0.5,0.7777777777777778,1.0
complex_000063,0.5,0.7777777777777778,1.0
complex_000063,1.0,0.4444444444444444,0.5714285714285714
complex_000063,1.0,0.875,1.0
complex_000063,1.0,0.5,0.7142857142857143
complex_000063,1.0,1.0,1.0
complex_000063,1.0,0.625,0.7142857142857143
complex_000063,1.0,0.5555555555555556,0.7142857142857143
complex_000063,1.0,0.625,0.7142857142857143
complex_000063,1.0,0.6666666666666666,0.8571428571428571
complex_000063,1.0,1.0,1.0
complex_000063,1.0,0.6666666666666666,0.8571428571428571
complex_000063,1.0,1.0,1.0
complex_000063,1.0,1.0,1.0
complex_000063,2.0,0.36363636363636365,0.5714285714285714
complex_000063,2.0,0.45454545454545453,0.7142857142857143
complex_000063,2.0,0.8571428571428571,0.8571428571428571
complex_000063,2.0,1.0,1.0
complex_000063,2.0,1.0,1.0
