batch,slot,critic_lambda20,control_r0,critic_r0
213,0,0.0003889799118041992,0.0008388161659240723,0.0002480149269104004
214,0,0.0008217096328735352,0.0003409385681152344,0.000563204288482666
214,1,0.0014477968215942383,0.0025043487548828125,0.003598511219024658
215,0,0.0005217194557189941,3.62396240234375e-05,0.0003293156623840332
218,0,0.00018310546875,0.0002669095993041992,0.00013130903244018555
220,0,0.023959994316101074,0.02147829532623291,0.025247693061828613
224,0,0.0014557242393493652,0.0009555220603942871,0.000940859317779541
231,0,0.0001265406608581543,0.00020051002502441406,0.00012576580047607422
237,0,0.00047510862350463867,0.0007219314575195312,0.000513911247253418
240,0,0.00018423795700073242,0.00057220458984375,0.00046622753143310547
241,0,0.00507807731628418,0.004102945327758789,0.00439453125
242,0,0.00014221668243408203,0.0001304149627685547,0.00014799833297729492
243,0,3.5762786865234375e-06,9.894371032714844e-06,6.377696990966797e-06
244,0,0.0006653070449829102,0.002419114112854004,0.001765131950378418
249,0,0.0019960403442382812,0.004715263843536377,0.0028652548789978027
252,0,0.0026743412017822266,0.0022095441818237305,0.0024622678756713867
252,1,8.71419906616211e-05,0.00011456012725830078,0.00013881921768188477
253,0,0.0007750391960144043,0.0011660456657409668,0.0010870099067687988
254,0,0.0005112290382385254,0.001053929328918457,0.0007202625274658203
258,0,0.013875484466552734,0.014131486415863037,0.018204212188720703
260,0,0.07799232006072998,0.0856848955154419,0.07209372520446777
260,1,0.0007730722427368164,0.0006845593452453613,5.0187110900878906e-05
262,0,0.0008808374404907227,0.0020079612731933594,0.0019260644912719727
266,0,3.647804260253906e-05,0.0002856254577636719,0.00026673078536987305
274,0,0.0005410909652709961,0.0007686614990234375,0.0006371736526489258
276,0,0.003336310386657715,0.0021691322326660156,0.0037443041801452637
281,0,0.005009770393371582,0.006556868553161621,0.003956913948059082
282,0,0.0004512667655944824,0.0005003809928894043,0.0002490878105163574
286,0,0.00037384033203125,0.000387728214263916,0.00027638673782348633
287,0,0.0002079606056213379,0.0003114938735961914,0.00034368038177490234
288,0,0.004497110843658447,0.003003239631652832,0.0024678707122802734
289,0,0.0010590553283691406,0.0007535219192504883,0.0011383295059204102
291,0,0.009708523750305176,0.007887601852416992,0.005502223968505859
